engagement_matrix,cost_of_advertising,return_on_investment,conversion_rate,ocassional_effect,platform contribution percentage
1,12971,1.8985212239086455,13.26512901478888,2,12921393.320660587
2,37648,2.0340943450693967,29.953000061691416,1,37501172.73227102
3,45405,1.609595749436688,1.0225522013621184,2,45224599.50266756
2,28252,1.956469127737555,34.148299489459994,1,28143166.170935553
3,33240,1.2897574327245538,46.556834240995116,1,33112470.351890355
2,32966,1.2502239502024262,15.526364995317318,1,32836356.16561306
2,28274,4.004953989640665,34.50253116510677,1,28165379.897135165
1,10603,2.1728302467329383,83.70388716225577,1,10569643.856648302
2,26398,4.569536771233563,34.6302032761081,2,26297271.06010787
3,14153,4.575115731731016,71.12324367925186,2,14105003.08941305
2,37275,3.1489594740775235,40.801733387298334,1,37130894.53807036
2,33367,2.4507713781724254,1.5922531378589018,1,33234514.82559295
1,33428,4.335852603890463,14.837263941358831,2,33297039.387232643
1,44061,1.4792988491876997,63.992094604984935,2,43892051.51831089
1,17944,1.19937932605723,82.09834551580059,2,17881293.753863968
3,38919,1.3255473759555847,94.04335790605167,1,38773507.656949475
2,12720,1.7427664600761466,77.01011634042422,1,12677552.571273852
2,47173,1.2140293571448781,51.24661046128635,1,46990095.48486255
3,29056,2.6428419093125144,48.89239303403457,1,28945615.808751613
3,39759,3.8073997350710544,7.200402303287564,2,39602087.00219589
3,29714,4.148322956014997,30.949460133876542,1,29599385.227997668
3,27770,1.1798574001198534,16.730304411555153,1,27661353.41190317
1,32971,3.4540852275145695,50.814623477799685,2,32845350.493427355
3,25137,1.9575067235354124,95.50045606744477,2,25047164.521480802
1,44044,4.388674240311055,4.760426601684834,2,43869574.57031141
1,39023,4.288079744544289,94.3835762513485,1,38877306.80799192
3,14297,2.230580073587707,29.481739059403594,1,14243657.149315506
2,13672,4.191426404722915,35.88594113811533,2,13622251.479546426
1,45597,2.8443134555803375,17.265457608508683,2,45417412.306510076
3,12881,2.582242402147425,20.21062280670837,2,12832740.75379295
3,22380,2.773653297202274,75.56980468343656,2,22299305.55539698
3,37253,3.1280640368626855,73.08193531586788,2,37112610.84185638
2,16833,4.495662119095857,32.40775073462548,1,16769998.211148946
1,25170,4.912833801458017,90.36783376440229,2,25079699.45177063
2,20174,4.154246298817712,87.19243647055691,2,20103369.2956659
2,43707,1.0910116713913185,33.51287419187587,2,43536471.118936464
2,16823,2.7257329286503738,95.11801754994903,2,16766380.147035718
1,21958,4.352391005834793,60.72990466911555,2,21877510.80129767
3,44721,2.012596697075906,33.73569159410396,2,44546659.20673003
2,29094,2.631293305970747,83.9677552707457,1,28986867.843656853
2,43537,1.9651519833943678,85.91248723226857,1,43372203.718481064
1,13455,1.0775882203229128,14.036676972037979,2,13403427.754165847
3,35862,4.824768733840982,4.284489175307638,1,35720214.66885293
1,18554,3.149412439952881,30.842263576012527,1,18483680.649974797
1,39783,2.401180984643307,43.94465877090918,2,39629278.6194051
1,48132,4.631800837174085,30.086048559365654,2,47943786.73896477
2,15127,1.3904163554907076,32.653856819754765,2,15070744.13980819
3,15813,4.218055863492385,43.15030457981335,2,15755519.377720235
1,28007,3.211979970560535,92.85608116484588,1,27905078.16551266
3,22133,1.2524466014193578,62.146038463609486,1,22051452.421904545
2,43255,1.436833552242724,57.2561214535025,2,43088698.400507145
3,39266,2.727767371494898,79.93260373860394,1,39117890.870132156
2,13731,2.501051314914013,76.97491009467466,1,13684603.627680408
1,46866,1.7258169243957404,75.60067057763484,1,46686723.42325794
1,31325,1.8669646445256411,2.3294310473950928,2,31200879.64850853
3,32018,3.925100154596873,84.84402281421642,2,31899830.66530152
1,20341,1.7793493876785043,10.451635591069033,1,20261315.478979502
1,44109,2.524379579900172,93.3062212262689,1,43942625.79146802
2,34434,1.0518946106765172,21.27654801449699,1,34299033.40110084
1,46228,2.848030188150682,86.78841219368265,1,46052540.08514383
3,25839,4.382715012988179,11.44357427254231,1,25737965.110378943
3,32758,3.07127059061565,69.18498700638283,1,32634892.763877418
1,35293,4.5349565256351205,48.69757036694489,2,35157991.30138502
1,13086,2.35067474620287,46.01266682009394,1,13038965.854399016
2,46322,2.7335293767008144,54.70335902832413,2,46143343.6947218
3,45283,2.5218036575960245,87.89168435962436,1,45111592.00291145
1,10262,2.912331846445893,72.26721070020339,2,10229261.324210057
1,38117,3.4888260739021932,34.21420025631218,2,37969110.967415236
3,11921,3.867248752594817,28.835009380495805,1,11877309.243275888
1,17986,2.5894494548482085,70.12029349855868,2,17922108.657778986
2,15132,2.4062453993198507,74.88704159998663,1,15079778.516061911
1,46442,4.914923729153914,53.243941046299746,2,46262899.33418942
2,30185,3.2422532177056875,74.84804937553743,1,30072671.297855854
3,20331,1.4280448891998998,90.93716255839738,2,20259863.362091437
2,19026,4.4866318360297095,92.54530923051793,1,18960238.793061737
3,34789,4.391110114243487,16.94135364948189,1,34652715.9796798
2,23882,4.375583685828232,99.28125332980194,1,23797473.951212138
3,26482,3.6738385237427407,70.67391447462606,1,26384223.99045555
2,37225,4.280631390995054,79.56972176866387,2,37085419.4542577
